title,release_date,developer,genres,multiplayer_or_singleplayer,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Wheelz2,19/05/2018,Chozabu,Indie;Racing;Early Access,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud,85,Positive,12,58%,1,0,1
Unblock: The Parking,23/07/2018,Bullid Games,Casual;Indie,Single-player;Steam Achievements,42,Positive,10,70%,1,1,1
Hooligan Vasja,19/08/2016,Trident Game Studio,Action;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,42,Mixed,32,78%,1,0,0
Tentlan,10/07/2018,Lionmoon UG,Free to Play;Strategy,Single-player;Multi-player;Online Multi-Player;MMO;Cross-Platform Multiplayer;In-App Purchases,Free to play,Mixed,59,69%,1,0,0
Professor Watts Memory Match: Fresh Fruit,11/08/2018,Ripknot Systems,Casual,Single-player;Steam Achievements,354,Mixed,35,60%,1,0,0
Ladra,13/11/2015,Is Future Bright,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,119,Positive,23,78%,1,0,0
Puzzle Monarch: Vampires,09/08/2018,Ripknot Systems,Casual;Indie;Strategy,Single-player,354,Mixed,39,56%,1,0,0
Land of Puzzles: Knights,26/08/2018,Ripknot Systems,Casual,Single-player,354,Mixed,36,69%,1,0,0
Wind Child,18/03/2016,Valkyria Games,Adventure;Casual;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,219,Mixed,12,75%,1,0,0
Rainyday,06/10/2017,Kerkko Rasilainen,Adventure;Indie,Single-player;Steam Achievements,125,Positive,38,71%,1,0,0
Retro Pinball,01/02/2017,Gear Worx Productions,Casual;Indie;Simulation,Single-player;Partial Controller Support,199,Mixed,119,62%,1,1,1
Furfly,18/12/2015,SMD Gaming Studio,Action;Indie,Single-player;Partial Controller Support,199,Positive,11,54%,1,0,0
Untamed: Life Of A Cougar,27/08/2015,OCCA Studios,Action;Adventure;Casual;Indie;Simulation,Single-player,479,Mixed,13,46%,1,0,0
Climb,20/06/2018,A Sweet Studio,Action;Free to Play;Indie;Early Access,Online Multi-Player;Partial Controller Support,Free to play,Positive,11,72%,1,0,0
FPS - Fun Puzzle Shooter,17/11/2017,Rafael Farias,Action;Adventure;Casual;Indie;Strategy,Single-player;Steam Achievements;Steam Cloud,42,Mixed,11,45%,1,0,0
Six Days of Snow,29/12/2017,ebi-hime,Free to Play;Simulation,Single-player;Steam Achievements,Free to play,Positive,15,53%,1,1,1
Maelstrom: The Battle for Earth Begins,13/02/2009,KDV Games,Strategy,Single-player,259,Mixed,13,61%,1,0,0
Puzzle Monarch: Zombie,23/08/2018,Ripknot Systems,Casual,Single-player,354,Mixed,41,75%,1,0,0
Puzzle Monarch: Super Natural,21/08/2018,Ripknot Systems,Casual,Single-player,354,Mixed,557,41%,1,0,0
Holodaze,19/05/2016,Sysdia Games,Action;Casual;Indie,Single-player,169,Positive,10,60%,1,0,0
Land of Puzzles: Battles,08/09/2018,Ripknot Systems,Casual,Single-player,354,Mixed,20,65%,1,0,0
Professor Watts Memory Match: Cute Animals,07/08/2018,Ripknot Systems,Casual,Single-player;Steam Achievements,354,Mixed,46,58%,1,0,0
Bubble Labs VR,08/06/2017,Kishan Emens (dev);Tavius Woods (art),Casual;Simulation,Single-player,169,Positive,58,75%,1,0,0
AWAKE - Definitive Edition,13/01/2019,Storyyeller Games;Off The Beaten Track,Adventure;Casual;Indie,Single-player;Steam Achievements,105,Positive,12,66%,1,1,1
DK Online,05/03/2019,Masangsoft,Action;Free to Play;Massively Multiplayer;RPG,Multi-player;Online Multi-Player;MMO;In-App Purchases,Free to play,Mixed,56,62%,1,0,0
Fix Me Fix You,08/03/2017,Sapphire Dragon Productions,Sexual Content;Casual;Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,259,Positive,20,60%,1,1,0
Javva Juice,06/01/2017,Super Games Studio,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,42,Mixed,52,78%,1,0,0
Of Carrots And Blood,25/03/2016,Trite Games,Action;Casual;Indie,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support,125,Positive,32,75%,1,1,0
Primal Carnage: Onslaught,29/12/2016,Pub Games,Action;Indie;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,459,Mixed,65,40%,1,0,0
XGun-Weapon Evolution,15/05/2017,Surf Monster Studio;Kinn Chen;Vicky;Chih-Hsuan Huang,Action;Casual;Indie;Early Access,Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Stats,229,Positive,11,72%,1,1,0
Song Animals,25/03/2019,Myshkin Entertainment,Indie,Single-player;Steam Achievements,Free to play,Positive,158,76%,1,0,0
Bonsai,18/02/2016,Rooted Concepts,Casual;Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,58,Mixed,13,53%,1,0,1
Achron,29/08/2011,Hazardous Software Inc.,Indie;Strategy,Single-player;Multi-player,Free to play,Mixed,65,69%,1,0,0
Vicky Saves the Big Dumb World,01/10/2015,Dumbfounded,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,42,Mixed,203,66%,1,0,0
Mesel,23/02/2016,Burak Dabak,Action;Adventure;Indie,Single-player;Steam Achievements,259,Positive,119,67%,1,0,0
All Fall Down,16/10/2015,khos85,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;VR Support;Partial Controller Support,42,Mixed,32,71%,1,0,0
Cashtronauts,31/08/2016,Simon Prefontaine,Action;Indie,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,194,Positive,17,70%,1,0,0
Amphora,12/11/2014,Moondrop,Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,439,Positive,72,59%,1,1,0
I was here,05/10/2017,Okinawa Sunrise,Adventure;Casual;Indie,Single-player;Steam Achievements,165,Mixed,13,53%,1,1,1
